"profid","accountname","fname","lname","mname","bday","memdate","acctstat","address","gender","civilstat","remarks","proftype","profpic","profgroup","previd","billname","shipname","billaddr1","billaddr2","billcity","shipaddr1","shipaddr2","shipcity","area","kobid","contact","encodedby","encodedon","editedby","editedon","salesperson","clientgroupid","pricecodeid","shipperid","hasbranches","tin"
95,"ALBERT STORE - CAIBIRAN"," "," "," ","1990-01-01","1990-01-01",1,"CAIBIRAN, LEYTE",1,1," ",1,"",99,"ALB006","","","","","CAIBIRAN, LEYTE","","","CAIBIRAN, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
96,"ALBERT STORE - ORAS"," "," "," ","1990-01-01","1990-01-01",1,"ORAS, SAMAR",1,1," ",1,"",99,"ALB008","","","","","ORAS, SAMAR","","","ORAS, SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
97,"ALCHEMIST PHARMA - BOLJOON"," "," "," ","1990-01-01","1990-01-01",1,"BOLJOON, CEBU",1,1," ",1,"",99,"ALC003","","","","","BOLJOON, CEBU","","","BOLJOON, CEBU","Cebu",7,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
98,"ALCERA STORE - CATARMAN"," "," "," ","1990-01-01","1990-01-01",1,"CATARMAN, N. SAMAR",1,1," ",1,"",99,"ALC004","","","","","CATARMAN, N. SAMAR","","","CATARMAN, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
99,"ALDREN STORE - BORBON"," "," "," ","1990-01-01","1990-01-01",1,"BORBON CEBU",1,1," ",1,"",99,"ALD000","","","","","BORBON CEBU","","","BORBON CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
100,"ALDWYIN STORE - CAPOOCAN"," "," "," ","1990-01-01","1990-01-01",1,"CAPOOCAN LEYTE",1,1," ",1,"",99,"ALD003","","","","","CAPOOCAN LEYTE","","","CAPOOCAN LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
101,"ALDRIN STORE - STA RITA"," "," "," ","1990-01-01","1990-01-01",1,"STA RITA W. SAMAR",1,1," ",1,"",99,"ALD005","","","","","STA RITA W. SAMAR","","","STA RITA W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
102,"ALDREN STORE - LAVEZARES"," "," "," ","1990-01-01","1990-01-01",1,"LAVEZARES, LEYTE",1,1," ",1,"",99,"ALD006","","","","","LAVEZARES, LEYTE","","","LAVEZARES, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
103,"ALEXA STORE - MAYORGA"," "," "," ","1990-01-01","1990-01-01",1,"MAYORGA LEYTE",1,1," ",1,"",99,"ALE007","","","","","MAYORGA LEYTE","","","MAYORGA LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
104,"ALEXIS PHARMACY - BASEY"," "," "," ","1990-01-01","1990-01-01",1,"BASEY,  SAMAR",1,1," ",1,"",99,"ALE010","","","","","BASEY,  SAMAR","","","BASEY,  SAMAR","Leyte",7,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
105,"ALEXA PHARMACY - MAYORGA"," "," "," ","1990-01-01","1990-01-01",1,"MAYORGA, LEYTE",1,1," ",1,"",99,"ALE011","","","","","MAYORGA, LEYTE","","","MAYORGA, LEYTE","Leyte",7,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
106,"ALESIA PHARMACY"," "," "," ","1990-01-01","1990-01-01",1,"LABANGONCEBU",1,1," ",1,"",99,"ALE015","","","LABANGON","","CEBU","LABANGON","","CEBU","#N/A",7,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
107,"ALEXANDER STORE - SAN FERNANDO"," "," "," ","1990-01-01","1990-01-01",1,"SAN FERNANDO CEBU",1,1," ",1,"",99,"ALE016","","","SAN FERNANDO CEBU","","","SAN FERNANDO CEBU","","","Cebu",20,"","","","","","Romnick Remolado",1,1,"0",0,""
108,"ALEXIS STORE I BOLJOON"," "," "," ","1990-01-01","1990-01-01",1,"BOLJOON, CEBU",1,1," ",1,"",99,"ALE017","","","","","BOLJOON, CEBU","","","BOLJOON, CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
109,"ALEXIS VU/BEST CARE -"," "," "," ","1990-01-01","1990-01-01",1,"LEYTE",1,1," ",1,"",99,"ALE018","","","","","LEYTE","","","LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
110,"AL FRESCO STORE - ALEGRIA"," "," "," ","1990-01-01","1990-01-01",1,"ALEGRIA CEBU",1,1," ",1,"",99,"ALF000","","","","","ALEGRIA CEBU","","","ALEGRIA CEBU","Cebu",15,"","","","","","1",1,1,"0",0,""
111,"ALFAR PHARMACY 1 - TABOK"," "," "," ","1990-01-01","1990-01-01",1,"TABOK MANDAUE",1,1," ",1,"",99,"ALF006","","","TABOK MANDAUE","","","TABOK MANDAUE","","","Cebu",8,"","","","","","Romnick Remolado",1,1,"0",0,""
112,"ALFAR PHARMACY - DUMLOG"," "," "," ","1990-01-01","1990-01-01",1,"DUMLOG TALISAY",1,1," ",1,"",99,"ALF008","","","DUMLOG TALISAY","","","DUMLOG TALISAY","","","Cebu",8,"","","","","","Romnick Remolado",1,1,"0",0,""
113,"ALFAR PHARMACY - PAGSABUNGAN"," "," "," ","1990-01-01","1990-01-01",1,"PAGSABUNGAN MANDAUE",1,1," ",1,"",99,"ALF011","","","PAGSABUNGAN MANDAUE","","","PAGSABUNGAN MANDAUE","","","Cebu",8,"","","","","","Romnick Remolado",1,1,"0",0,""
114,"ALFAR PHARMACY - YATI"," "," "," ","1990-01-01","1990-01-01",1,"YATI, LILO-AN, CEBU",1,1," ",1,"",99,"ALF016","","","","","YATI, LILO-AN, CEBU","","","YATI, LILO-AN, CEBU","Cebu",7,"","","","","","Romnick Remolado",1,1,"0",0,""
115,"ALFAR PHARMACY 2 - TABOK MANDAUE"," "," "," ","1990-01-01","1990-01-01",1,"TABOK MANDAUE",1,1," ",1,"",99,"ALF017","","","TABOK MANDAUE","","","TABOK MANDAUE","","","Cebu",7,"","","","","","Romnick Remolado",1,1,"0",0,""
116,"ALFAR PHARMACY - NAGA"," "," "," ","1990-01-01","1990-01-01",1,"NAGA CEBU",1,1," ",1,"",99,"ALF018","","","NAGA CEBU","","","NAGA CEBU","","","Cebu",7,"","","","","","Romnick Remolado",1,1,"0",0,""
117,"ALFAR PHARMACY - SAAC LLC"," "," "," ","1990-01-01","1990-01-01",1,"SAAC LLC",1,1," ",1,"",99,"ALF020","","","SAAC LLC","","","SAAC LLC","","","Cebu",7,"","","","","","Romnick Remolado",1,1,"0",0,""
118,"ALFAR PHAMACY - TAYUD LILOAN"," "," "," ","1990-01-01","1990-01-01",1,"TAYUD LILOAN",1,1," ",1,"",99,"ALF021","","","TAYUD LILOAN","","","TAYUD LILOAN","","","Cebu",2,"","","","","","Romnick Remolado",1,1,"0",0,""
119,"ALFAR PHARMACY - PARDO"," "," "," ","1990-01-01","1990-01-01",1,"PARDOCEBU",1,1," ",1,"",99,"ALF022","","","PARDO","","CEBU","PARDO","","CEBU","Cebu",2,"","","","","","Romnick Remolado",1,1,"0",0,""
120,"ALHADIS STORE - GANDARA"," "," "," ","1990-01-01","1990-01-01",1,"GANDARA, W. SAMAR",1,1," ",1,"",99,"ALH000","","","","","GANDARA, W. SAMAR","","","GAMSATRA., SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
121,"ALICE & TORING - HINABANGAN"," "," "," ","1990-01-01","1990-01-01",1,"HINABANGAN LEYTE",1,1," ",1,"",99,"ALI007","","","","","HINABANGAN LEYTE","","","HINABANGAN LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
122,"ALIYAH STORE - STA FE"," "," "," ","1990-01-01","1990-01-01",1,"STA. FE, BANTAYAN IS, CEBU",1,1," ",1,"",99,"ALI010","","","","","STA. FE, BANTAYAN IS, CEBU","","","STA. FE, BANTAYAN IS, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
123,"ALIKO STORE - GUIUAN"," "," "," ","1990-01-01","1990-01-01",1,"GUIAUAN, E. SAMAR",1,1," ",1,"",99,"ALI011","","","","","GUIAUAN, E. SAMAR","","","GUIAUAN, E. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
124,"ALICIA STORE - NAVAL"," "," "," ","1990-01-01","1990-01-01",1,"NAVAL, LEYTE",1,1," ",1,"",99,"ALI014","","","","","NAVAL, LEYTE","","","NAVAL, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
125,"ALLAN STORE - TUDELA"," "," "," ","1990-01-01","1990-01-01",1,"INAYAWAN",1,1," ",1,"",99,"ALL000","","","","","INAYAWAN","","","TUDELA, CAMOTES, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
126,"ALLAN STORE - SAN VICENTE LILOAN"," "," "," ","1990-01-01","1990-01-01",1,"LILO-AN CEBU",1,1," ",1,"",99,"ALL001","","","","","LILO-AN CEBU","","","LILO-AN CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
127,"ALLAN STORE - ST. MARGARITA"," "," "," ","1990-01-01","1990-01-01",1,"ST. MARGARITA, W. SAMAR",1,1," ",1,"",99,"ALL004","","","","","ST. MARGARITA, W. SAMAR","","","ST. MARGARITA, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
128,"ALLEN BODEGA HOMES-SAMAR"," "," "," ","1990-01-01","1990-01-01",1,"SAMAR",1,1," ",1,"",99,"ALL005","","","","","SAMAR","","","SAMAR","Leyte",14,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
129,"ALLEN GEN. MDSE. - SAN ISIDRO"," "," "," ","1990-01-01","1990-01-01",1,"SAN ISIDRO SAMAR",1,1," ",1,"",99,"ALL006","","","","","SAN ISIDRO SAMAR","","","SAN ISIDRO SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
130,"ALL LOWS MINI MART - MONDRAGON"," "," "," ","1990-01-01","1990-01-01",1,"MONDRAGON, SAMAR, LEYTE",1,1," ",1,"",99,"ALL007","","","","","MONDRAGON, SAMAR, LEYTE","","","MONDRAGON, SAMAR, LEYTE","Leyte",2,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
131,"ALLICO STORE - GUIUAN"," "," "," ","1990-01-01","1990-01-01",1,"GUIUAN, SAMAR",1,1," ",1,"",99,"ALL009","","","","","GUIUAN, SAMAR","","","GUIUAN, SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
132,"ALLAN STORE - PARANAS"," "," "," ","1990-01-01","1990-01-01",1,"PARANAS, W. SAMAR",1,1," ",1,"",99,"ALL010","","","","","PARANAS, W. SAMAR","","","PARANAS, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
133,"ALL GENERATION PHARMACY - HINUNANGAN"," "," "," ","1990-01-01","1990-01-01",1,"HINUNANGAN, SO., LEYTE",1,1," ",1,"",99,"ALL011","","","","","HINUNANGAN, SO., LEYTE","","","HINUNANGAN, SO., LEYTE","Leyte",7,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
134,"ALLAN STORE - BURAY"," "," "," ","1990-01-01","1990-01-01",1,"BURAY, LEYTE",1,1," ",1,"",99,"ALL015","","","","","BURAY, LEYTE","","","BURAY, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
135,"ALMERIA COOP - ALMERIA"," "," "," ","1990-01-01","1990-01-01",1,"ALMERIA LEYTE",1,1," ",1,"",99,"ALM007","","","","","ALMERIA LEYTE","","","ALMERIA LEYTE","Leyte",4,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
136,"ALMA STORE - SAN JOSE"," "," "," ","1990-01-01","1990-01-01",1,"SAN JOSE LEYTE",1,1," ",1,"",99,"ALM009","","","","","SAN JOSE LEYTE","","","SAN JOSE LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
137,"ALMA STORE - TACLOBAN"," "," "," ","1990-01-01","1990-01-01",1,"TACLOBAN",1,1," ",1,"",99,"ALM010","","","","","TACLOBAN","","","TACLOBAN","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
138,"ALMA STORE - GANDARA"," "," "," ","1990-01-01","1990-01-01",1,"GANDARA, W. SAMAR",1,1," ",1,"",99,"ALM012","","","","","GANDARA, W. SAMAR","","","CEBU CITY","Leyte",15,"","","","","","JEREMIAH COMPACION",1,1,"0",0,""
139,"ALMA STORE - HAGNAYA"," "," "," ","1990-01-01","1990-01-01",1,"HAGNAYA, CEBU",1,1," ",1,"",99,"ALM013","","","","","HAGNAYA, CEBU","","","HAGNAYA, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
140,"ALMA STORE - BORONGAN"," "," "," ","1990-01-01","1990-01-01",1,"BORONGAN, E. SAMAR",1,1," ",1,"",99,"ALM017","","","","","BORONGAN, E. SAMAR","","","BORONGAN, E. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
141,"ALMA STORE - LAVEZARES"," "," "," ","1990-01-01","1990-01-01",1,"LAVEZARES, LEYTE",1,1," ",1,"",99,"ALM018","","","","","LAVEZARES, LEYTE","","","LAVEZARES, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
142,"ALNDELYNS STORE - STA FE"," "," "," ","1990-01-01","1990-01-01",1,"STA. FE PBLC MKT",1,1," ",1,"",99,"ALN000","","","","","STA. FE PBLC MKT","","","STA. FE PBLC MKT","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
143,"ALS COMMERCIAL - VILLABA"," "," "," ","1990-01-01","1990-01-01",1,"VILLABA LEYTE",1,1," ",1,"",99,"ALS002","","","","","VILLABA LEYTE","","","VILLABA LEYTE","Leyte",14,"","","","","","PHILIP ESCOL",1,1,"0",0,""
144,"ALV-PHARMACY - BANAWA"," "," "," ","1990-01-01","1990-01-01",1,"BANAWA COR. GUADALUPE",1,1," ",1,"",99,"ALV000","","","","","BANAWA COR. GUADALUPE","","","BANAWA COR. GUADALUPE","#N/A",8,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
145,"ALVIN STORE - CALBIGA"," "," "," ","1990-01-01","1990-01-01",1,"CALBIGA, W. SAMAR",1,1," ",1,"",99,"ALV005","","","","","CALBIGA, W. SAMAR","","","CALBIGA, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
146,"AMARE SHELL GAST STATION - LAWAAN"," "," "," ","1990-01-01","1990-01-01",1,"LAWAAN TALISAYTALISAY CITY",1,1," ",1,"",99,"AMA003","","","LAWAAN TALISAY","","TALISAY CITY","LAWAAN TALISAY","","TALISAY CITY","#N/A",3,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
147,"AM DIAZ PHARMACY - INOPACAN"," "," "," ","1990-01-01","1990-01-01",1,"INOPACAN LEYTE",1,1," ",1,"",99,"AMD000","","","","","INOPACAN LEYTE","","","INOPACAN LEYTE","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
148,"AMELIA STORE - SAN FERNANDO"," "," "," ","1990-01-01","1990-01-01",1,"SAN FERNANDO, CEBU",1,1," ",1,"",99,"AME003","","","","","SAN FERNANDO, CEBU","","","SAN FERNANDO, CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
149,"AM/FM STORE - DULAG"," "," "," ","1990-01-01","1990-01-01",1,"DULAG, LEYTE",1,1," ",1,"",99,"AMF000","","","","","DULAG, LEYTE","","","DULAG, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
150,"AMG STORE - GINATILAN"," "," "," ","1990-01-01","1990-01-01",1,"GENATILAN CEBU",1,1," ",1,"",99,"AMG000","","","","","GENATILAN CEBU","","","GENATILAN CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
151,"AML ENTERPRISES - MC ARTHUR"," "," "," ","1990-01-01","1990-01-01",1,"MC ARTHUR, LEYTE",1,1," ",1,"",99,"AML000","","","","","MC ARTHUR, LEYTE","","","MC ARTHUR, LEYTE","Leyte",14,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
152,"AMOR STORE - ALCOY"," "," "," ","1990-01-01","1990-01-01",1,"ALCOY STORE",1,1," ",1,"",99,"AMO000","","","","","ALCOY STORE","","","ALCOY STORE","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
153,"AMPARO STORE - DANAO"," "," "," ","1990-01-01","1990-01-01",1,"DANAO CITY, CEBU",1,1," ",1,"",99,"AMP004","","","","","DANAO CITY, CEBU","","","DANAO CITY, CEBU","#N/A",15,"","","","","","JASON TARIAO",1,1,"0",0,""
154,"AMUS PHARMACY - TUBURAN"," "," "," ","1990-01-01","1990-01-01",1,"TUBURAN CEBU",1,1," ",1,"",99,"AMU000","","","","","TUBURAN CEBU","","","TUBURAN CEBU","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
155,"AMY STORE - LOPE DE VEGA"," "," "," ","1990-01-01","1990-01-01",1,"SALVADOR ST. TALISAY CITY",1,1," ",1,"",99,"AMY004","","","","","SALVADOR ST. TALISAY CITY","","","LOPE DE VEGA, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
156,"AMY & ALLAN STORE - SAN VICENTE"," "," "," ","1990-01-01","1990-01-01",1,"PROPER SN VICENTE, LILO-AN, CE",1,1," ",1,"",99,"AMY005","","","","","PROPER SN VICENTE, LILO-AN, CE","","","PROPER SN VICENTE, LILO-AN, CE","Cebu",14,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
157,"AMY STORE - BANTAYAN IS"," "," "," ","1990-01-01","1990-01-01",1,"POB. BANTAYAN IS., CEBU",1,1," ",1,"",99,"AMY006","","","","","POB. BANTAYAN IS., CEBU","","","POB. BANTAYAN IS., CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
158,"AMY STORE - SAN FRANCISCO"," "," "," ","1990-01-01","1990-01-01",1,"CAMPO, SN FRANCISCO, CAMOTES",1,1," ",1,"",99,"AMY007","","","","","CAMPO, SN FRANCISCO, CAMOTES","","","CAMPO, SN FRANCISCO, CAMOTES","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
159,"AMY & ALLAN GEN. MDSE. - LILOAN"," "," "," ","1990-01-01","1990-01-01",1,"YATI, LILOAN, CEBU",1,1," ",1,"",99,"AMY009","","","","","YATI, LILOAN, CEBU","","","YATI, LILOAN, CEBU","Cebu",3,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
160,"ANANITAS G/M - BARILI"," "," "," ","1990-01-01","1990-01-01",1,"BARILI CEBU",1,1," ",1,"",99,"ANA006","","","","","BARILI CEBU","","","BARILI CEBU","Cebu",10,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
161,"ANALYN STORE  - PORO"," "," "," ","1990-01-01","1990-01-01",1,"TABUNOK P. MARKET",1,1," ",1,"",99,"ANA008","","","","","TABUNOK P. MARKET","","","CAGCAGAN, PORO, CAMOTES","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
162,"ANA PHARMACY"," "," "," ","1990-01-01","1990-01-01",1,"CARBON CEBU",1,1," ",1,"",99,"ANA010","","","CARBON CEBU","","","CARBON CEBU","","","#N/A",8,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
163,"ANAK PHARMACY - SOGOD"," "," "," ","1990-01-01","1990-01-01",1,"SOGOD CEBU",1,1," ",1,"",99,"ANA012","","","","","SOGOD CEBU","","","SOGOD CEBU","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
164,"ANABELLE DRUGSTORE - BAYBAY"," "," "," ","1990-01-01","1990-01-01",1,"BAYBAY LEYTE",1,1," ",1,"",99,"ANA021","","","","","BAYBAY LEYTE","","","BAYBAY LEYTE","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
165,"ANAK SUSAN STORE - TABUELAN"," "," "," ","1990-01-01","1990-01-01",1,"TABUELAN, CEBU",1,1," ",1,"",99,"ANA024","","","","","TABUELAN, CEBU","","","TABUELAN, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
166,"ANABEL SUPER STORE - BASEY"," "," "," ","1990-01-01","1990-01-01",1,"LAHUG, CC",1,1," ",1,"",99,"ANA025","","","","","LAHUG, CC","","","BASEY, SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
167,"ANAQYN STORE - QUINAPONDAN"," "," "," ","1990-01-01","1990-01-01",1,"QUINAPONDAN, E. SAMAR",1,1," ",1,"",99,"ANA026","","","","","QUINAPONDAN, E. SAMAR","","","QUINAPONDAN, E. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
168,"ANABELLE STORE - ALANG2X"," "," "," ","1990-01-01","1990-01-01",1,"ALANG2X, LEYTE",1,1," ",1,"",99,"ANA030","","","","","ALANG2X, LEYTE","","","ALANG2X, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
169,"ANALIZA STORE - BAMBUHAN"," "," "," ","1990-01-01","1990-01-01",1,"BAMBUAN, N. SAMAR",1,1," ",1,"",99,"ANA032","","","","","BAMBUAN, N. SAMAR","","","BAMBUAN, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
170,"ANABELLE HERRAS"," "," "," ","1990-01-01","1990-01-01",1,"",1,1," ",1,"",99,"ANA033","","","","","","","","","Cebu",14,"","","","","","1",1,1,"0",0,""
171,"ANC MINIMART - BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BANTAYAN, CEBU",1,1," ",1,"",99,"ANC002","","","","","BANTAYAN, CEBU","","","BANTAYAN, CEBU","Cebu",3,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
172,"ANCAJAS STORE - DAAN BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"DAAN BANTAYAN",1,1," ",1,"",99,"ANC003","","","","","DAAN BANTAYAN","","","DAAN BANTAYAN","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
173,"ANDRE PHARMACY - BARILI"," "," "," ","1990-01-01","1990-01-01",1,"BARILI CEBU",1,1," ",1,"",99,"AND002","","","","","BARILI CEBU","","","BARILI CEBU","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
174,"ANDI STORE - KAWIT"," "," "," ","1990-01-01","1990-01-01",1,"KAWIT, MEDELLIN, CEBU",1,1," ",1,"",99,"AND006","","","","","KAWIT, MEDELLIN, CEBU","","","KAWIT, MEDELLIN, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
175,"ANDI STORE - GANDARA"," "," "," ","1990-01-01","1990-01-01",1,"GANDARA, W. SAMAR",1,1," ",1,"",99,"AND008","","","","","GANDARA, W. SAMAR","","","GANDARA, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
176,"ANDRE STORE - HINABANGAN"," "," "," ","1990-01-01","1990-01-01",1,"HINABANGAN",1,1," ",1,"",99,"AND009","","","HINABANGAN","","","HINABANGAN","","","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
177,"ANETH RAMIL"," "," "," ","1990-01-01","1990-01-01",1,"",1,1," ",1,"",99,"ANE03","","","","","","","","","Cebu",14,"","","","","","Office Sales",1,1,"0",0,""
178,"ANGEL STORE"," "," "," ","1990-01-01","1990-01-01",1,"TABO-AN CEBU",1,1," ",1,"",99,"ANG000","","","","","TABO-AN CEBU","","","TABO-AN CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
179,"ANGIE & DOMY STORE - BOGO"," "," "," ","1990-01-01","1990-01-01",1,"BOGO, CEBU",1,1," ",1,"",99,"ANG004","","","","","BOGO, CEBU","","","BOGO, CEBU","Cebu",15,"","","","","","1",1,1,"0",0,""
180,"ANGIE CONV. - GANDARA"," "," "," ","1990-01-01","1990-01-01",1,"GANDARA, W. SAMAR",1,1," ",1,"",99,"ANG006","","","","","GANDARA, W. SAMAR","","","GANDARA, W. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
181,"ANGLISS PHARMACY  - BATO"," "," "," ","1990-01-01","1990-01-01",1,"BATO OSLOB",1,1," ",1,"",99,"ANG008","","","","","BATO OSLOB","","","BATO OSLOB","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
182,"ANGELI STORE - SALCEDO"," "," "," ","1990-01-01","1990-01-01",1,"SALCEDO, LEYTE",1,1," ",1,"",99,"ANG011","","","","","SALCEDO, LEYTE","","","SALCEDO, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
183,"ANGELA PHARMACY - BALANGIGA"," "," "," ","1990-01-01","1990-01-01",1,"BALANGIGA LEYTE",1,1," ",1,"",99,"ANG015","","","","","BALANGIGA LEYTE","","","BALANGIGA LEYTE","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
184,"ANGELITO STORE - TOLOSA"," "," "," ","1990-01-01","1990-01-01",1,"TOLOSA, LEYTE",1,1," ",1,"",99,"ANG026","","","","","TOLOSA, LEYTE","","","TOLOSA, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
185,"ANGEL STORE - MAYORGA"," "," "," ","1990-01-01","1990-01-01",1,"MAYORGA, LEYTE",1,1," ",1,"",99,"ANG027","","","","","MAYORGA, LEYTE","","","MAYORGA, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
186,"ANING STORE - BOGO"," "," "," ","1990-01-01","1990-01-01",1,"BANKAL, LAPU2X CITY",1,1," ",1,"",99,"ANI008","","","","","BANKAL, LAPU2X CITY","","","POB. BOGO, CEBU","Cebu",15,"","","","","","1",1,1,"0",0,""
187,"ANIANA STORE - SANTANDER"," "," "," ","1990-01-01","1990-01-01",1,"SANTANDER",1,1," ",1,"",99,"ANI011","","","","","SANTANDER","","","SANTANDER","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
188,"ANLING STORE - PINABACDAO"," "," "," ","1990-01-01","1990-01-01",1,"PINABACDAO LEYTE",1,1," ",1,"",99,"ANL000","","","","","PINABACDAO LEYTE","","","PINABACDAO LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
189,"ANNIE DRUG STORE - ALMERIA"," "," "," ","1990-01-01","1990-01-01",1,"ALMERIA BLIRAN LEYTE",1,1," ",1,"",99,"ANN013","","","","","ALMERIA BLIRAN LEYTE","","","ALMERIA BLIRAN LEYTE","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
190,"ANNEX PHARMACY - TOLEDO"," "," "," ","1990-01-01","1990-01-01",1,"TOLEDO CITY, CEBU",1,1," ",1,"",99,"ANN014","","","","","TOLEDO CITY, CEBU","","","TOLEDO CITY, CEBU","Cebu",8,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
